Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Random Forest,Test set,21630,2420,15787,927,2496,0.7230355542276665,0.49227013832384053,0.9445375134617686,0.5857436766307637,0.841747572815534,0.7184038258928046,0.8863111046969976
Random Forest,Entire population,108150,22482,82245,927,2496,0.960399846212995,0.9000720634158059,0.9888544221613043,0.9292578585157171,0.9683495145631068,0.9444632427885551,0.9906195073941797
