,epoch,step,train_loss,eval_loss,eval_accuracy
0,0.9971455756422455,262,,0.37485846877098083,0.8334919124643198
2,1.9971455756422456,524,,0.31293317675590515,0.8601332064700286
3,2.9971455756422456,786,,0.6166278123855591,0.7797335870599429
5,3.9971455756422456,1048,,0.42855146527290344,0.8482397716460514
6,4.997145575642246,1310,,0.44372713565826416,0.8330161750713606
8,5.997145575642246,1572,,0.540998101234436,0.852045670789724
9,6.997145575642246,1834,,0.684857964515686,0.8553758325404377
11,7.997145575642246,2096,,0.8064587712287903,0.857278782112274
12,8.997145575642245,2358,,0.9411863684654236,0.8496669838249287
14,9.997145575642245,2620,,1.0019915103912354,0.8487155090390105
